Detections,X,Y,Energy Per Nucleon,Z,Height,True X,True Y,True Energy per nucleon,True Z,True Height,Phi,Epsilon,Theta,Guess Log Likelihood,Classifier,BDT
5,-26.79430647914012,35.33195049774116,426.81563080190443,25.0,17728.34454969802,-25.029093741403344,32.32340041894457,378.52270431829953,26,18681.840007461076,1.894748995667151,2.333461818859468,23.390241879975747,26.471136561327512,1.0,0.0043679886240346466
5,0.9926371970734067,19.556125339372613,682.759768093272,22.0,17545.89150597471,0.49889347029943565,35.645546287172266,304.0017908274435,26,19606.18716937226,1.3886418241354703,2.5705813313608084,21.5458824254938,21.89446943106077,1.0,0.0043679886240346466
5,0.9248390609164971,-37.22591121561328,232.13277407645484,26.0,18807.829396715228,1.6473798476110346,-38.558529619117365,258.89890618240076,26,19451.227320516693,1.2553426302379889,0.910157361077545,21.39606378912822,24.292518885747768,0.0,0.99777682327117745
5,5.977524336794318,-36.43318611751721,282.53719560655344,26.0,20362.580376312453,5.1385214852034835,-34.102810604699414,354.1050741257543,26,21663.887059952387,1.211452223391669,6.085157871096767,24.2818701058809,22.83135225191677,0.0,0.99777682327117745
5,-3.200164739904835,34.81795512852642,390.61764763756327,26.0,22501.285264862676,-2.791652748198999,34.50258107662859,402.4975215602143,26,22497.27084566063,1.242916132101068,3.315785676868274,20.615298938317437,20.70670024022843,0.0,0.99777682327117745
5,-24.50629767451659,23.28227282623243,360.80077017694657,26.0,17637.316905379364,-25.309610339781187,23.57408737474603,310.77818507855216,26,19405.933923545024,1.9027135838679532,3.423261558904738,23.519380150488814,24.324141666314517,0.0,0.99777682327117745
5,-1.7444352058775507,38.559107854359866,553.7968118632551,26.0,20794.85353925124,-2.320611992236394,39.329119687723136,520.7033388418828,26,20462.476733922973,1.3383140538691105,4.735214679619697,22.03532166952118,22.133996454762837,1.0,0.0043679886240346466
5,37.907747946147424,-4.851301541016085,498.79730350818664,26.0,21917.810901336154,37.65865983811787,-5.0900998474996015,501.53920228448976,26,22060.41918255334,1.9385954971157404,0.11841907954562296,21.984345058109056,22.141295296391718,1.0,0.0043679886240346466
5,25.824581784997633,-6.0,273.14385718616865,26.0,20000.0,26.57967605258449,-5.65072725021011,239.46264214791177,26,19194.814703317552,1.868886960789163,2.8081488627173616,21.887414465854818,22.42724127167753,0.0,0.99777682327117745
5,-38.92372545524063,-7.205373844102269,386.99075681182285,26.0,20786.43805763834,-38.57514908862582,-6.525835062080176,344.89634338583284,26,20584.954935849903,1.9273036851944527,5.277754325169288,23.957310472571862,25.87229243113643,0.0,0.99777682327117745
5,-35.1746556347432,-4.996087496235361,485.6043339887012,26.0,22839.251104111067,-36.07042396256408,-6.057929558962371,410.11816710677516,26,21769.81696225399,1.206464255803347,5.461774889704282,22.70089262258989,26.748710626719912,1.0,0.0043679886240346466
5,-4.047061062867613,51.715305143480236,494.46510000380454,26.0,20000.0,-3.3645560295220776,49.18289366078551,673.5731900232119,26,20925.282290498835,1.237537044467245,2.871637450274912,26.565667223323544,24.2683130458463,1.0,0.0043679886240346466
5,-41.51758899970889,-6.341940048885647,433.76403252796183,27.0,21234.780369279564,-39.322441278451294,-6.426910449445586,538.2412164764932,26,22149.148290874084,1.2759926888382311,5.679993621657686,23.40413746292461,22.216867480133487,1.0,0.0043679886240346466
5,30.906990914343623,-14.281787739897197,291.37686404359556,26.0,19328.9447975712,30.727452726873736,-14.016993211815219,291.5212363786732,26,19553.60624558681,1.8497224341297418,1.866364074844956,22.605028740113994,22.84166885792024,0.0,0.99777682327117745
5,-12.006708942183423,53.209015617086095,532.3532547670047,25.0,18519.73867577536,-12.714966006591197,51.57726355828552,445.01815723425995,26,18475.37759162724,1.1915912452818023,5.427798078520301,22.488894262052327,23.990145972324626,1.0,0.0043679886240346466
4,36.31983326251071,-1.590689726047458,909.8798829998161,26.0,21299.362075497662,35.610204984178694,3.4814325509567823,838.2003263198383,26,21931.91220364482,1.2911079194394814,2.6038430305550246,33.93685084185563,23.792463700288863,0.0,0.45995219596852333
4,-3.878577030919814,3.848548955294632,300.7167062693944,26.0,18982.69720136314,-4.612284666156853,1.7749994717499362,316.16755292102636,26,20802.206160393645,1.328322074432787,4.082248786810665,22.225457968217597,24.675373939096062,0.0,0.82071187448948812
4,-7.046150922320805,-1.163768944081653,1589.8592654074798,26.0,27783.367406848512,-7.009320348997761,-0.6664766833000613,1603.557591582157,26,27583.985452581186,1.3658422727568804,4.418828249690523,23.922864793727967,24.571090634296525,0.0,0.75754140208246612
4,7.858728897363733,5.280909728364975,494.6440857594797,26.0,20001.101844426114,7.784659138962212,4.341690942535479,503.3028277798435,26,22545.518715477887,1.9419085793206288,4.095448963649139,24.37818114309175,24.237814169275225,0.0,0.79188914149672684
